username,user id,access hash,group,group id
Zephy12,696117910,6810859105664560366,Curve Finance,1357982180
zao00,477516500,1916603473726121467,Curve Finance,1357982180
,5069367814,7899236718380372080,Curve Finance,1357982180
kluben88,5033903627,1103776851611761868,Curve Finance,1357982180
zero_lcl,1898965841,2827377693437143572,Curve Finance,1357982180
,1652267301,365959281084720663,Curve Finance,1357982180
,1854740002,-1689509074331432885,Curve Finance,1357982180
tzehingchan,504486980,-4530318482831478867,Curve Finance,1357982180
,694050288,-7214433476859084184,Curve Finance,1357982180
,1268319006,-2115174953421913586,Curve Finance,1357982180
Compalnd,1439735755,1147878835525883544,Curve Finance,1357982180
zerofeng,5040175441,-8415596193247612248,Curve Finance,1357982180
Zuber0777,1112593075,3487467398957811377,Curve Finance,1357982180
dickson37,2142897930,2385384954644735378,Curve Finance,1357982180
,893333561,290701615324889590,Curve Finance,1357982180
CherrySoccer,1829238653,8315434597344912643,Curve Finance,1357982180
Zoomer23,1744957150,917854693567453453,Curve Finance,1357982180
ZeroMetaverse,2136618967,8436606068128981604,Curve Finance,1357982180
,5062834044,6650931350016381279,Curve Finance,1357982180
zioolas,5037927693,-2453230645722251740,Curve Finance,1357982180
,5051620847,7069740191336276762,Curve Finance,1357982180
,1645756344,3767139834579330615,Curve Finance,1357982180
zxcvbnmlai,5006762952,-4986895577127642947,Curve Finance,1357982180
,2059846801,3744436283391499791,Curve Finance,1357982180
Zhang_Rio,2006683641,4115328868542741005,Curve Finance,1357982180
,437439798,8709236514239473374,Curve Finance,1357982180
zuriuss,958793233,896320509144672734,Curve Finance,1357982180
Sou_ZaNa,1437498583,1800771855090940446,Curve Finance,1357982180
Yang_Zhao,2004588224,-5949672834111579815,Curve Finance,1357982180
QiangZhao,2126305466,5266501369002354851,Curve Finance,1357982180
,2116860914,2208565693497090845,Curve Finance,1357982180
,1994583551,-4855561831159815082,Curve Finance,1357982180
solzhang3,2016104517,-352294205571956053,Curve Finance,1357982180
,2144731438,8909156723661720029,Curve Finance,1357982180
,1485885589,-463025238110133474,Curve Finance,1357982180
z0M90,1453858195,4970541249766349756,Curve Finance,1357982180
,1958525200,-8154648781564240272,Curve Finance,1357982180
,779852924,-545443397617499314,Curve Finance,1357982180
,2083192761,6818256860584497901,Curve Finance,1357982180
wuinga,394789286,511468184584804656,Curve Finance,1357982180
,906940750,-8419558538472872700,Curve Finance,1357982180
CH_Zhang,11230661,-5069215049989590146,Curve Finance,1357982180
M3_make_more_money,2051838874,790632453710428315,Curve Finance,1357982180
zeroriskmgmt,1786854442,6676803881669737816,Curve Finance,1357982180
ZjakkeMakke,1369803528,9071146030422324380,Curve Finance,1357982180
Jhonabaas,5035287409,1364287586598853919,Curve Finance,1357982180
zainurairdrop,2053068360,2738812847525961470,Curve Finance,1357982180
zula8700,1693107853,7146778786309956332,Curve Finance,1357982180
zero15132,1828760966,4466582564927090768,Curve Finance,1357982180
,2033234047,-7884539457567861203,Curve Finance,1357982180
Carloscazady98,1983501914,-655008491591891443,Curve Finance,1357982180
Zoom_ep,1555940941,6920496709279475990,Curve Finance,1357982180
bobzhuang,533853996,782740286359945550,Curve Finance,1357982180
,1995434978,1792340839229932415,Curve Finance,1357982180
SuperdooperHI,1782929110,-1681283878286606496,Curve Finance,1357982180
Stmz981,1529942079,-1151293196147761519,Curve Finance,1357982180
yukairex,464269999,7110508769802849322,Curve Finance,1357982180
Rezz_zza,1748058231,2826046518974061990,Curve Finance,1357982180
ZIFFIZ66,1210877662,-4181990848268021478,Curve Finance,1357982180
zermoise,1777013867,5994831830383373107,Curve Finance,1357982180
sarah_zhoax,1887939387,3225805383577258812,Curve Finance,1357982180
zPatric12,1802586402,3855224902622509661,Curve Finance,1357982180
vlasik_stasik,1722647202,-8737326926024838944,Curve Finance,1357982180
zTerminator,810806490,-5785780801380352782,Curve Finance,1357982180
az9kuai9,1746924762,3652663489994034765,Curve Finance,1357982180
zelenskiyofficialll,627326144,6067683215346498808,Curve Finance,1357982180
,1234819854,8975300339689342060,Curve Finance,1357982180
crepuscularz,1006854873,-3440173839157163710,Curve Finance,1357982180
,2105731266,208755763236892989,Curve Finance,1357982180
rose_zzzzz,1799227510,8622680902082453422,Curve Finance,1357982180
Zico121,2141766411,6018171895832417130,Curve Finance,1357982180
romantica88,681285432,-2489498028543361795,Curve Finance,1357982180
zhen9209,559915300,4355109249689612733,Curve Finance,1357982180
CaseyZhao,1744469620,8996456750549450733,Curve Finance,1357982180
Cryptozee,383968614,6630047929391399331,Curve Finance,1357982180
bkzob,1608399829,-2349411646541118292,Curve Finance,1357982180
xczadsa,1746680768,3118596534547396337,Curve Finance,1357982180
zaherlazer,727706605,8477935396172597898,Curve Finance,1357982180
LTGpath,1768709375,8316736569188999577,Curve Finance,1357982180
zbc6669,1628180188,-7014983181152143024,Curve Finance,1357982180
Derek518,1284446130,3488595043174205870,Curve Finance,1357982180
